n,xa,phat_a,variance_a,sigma_a,cdf_probability,relative_gain
430,34,0.0790697674418605,0.000169343579810583,0.0130132078985384,0.0826099419203728,0.00222573084233703
431,34,0.0788863109048724,0.000168592252567731,0.012984307935648,0.0802878552231969,0.00222081773500884
432,34,0.0787037037037037,0.000167845904460702,0.0129555356686129,0.0780189951984354,0.00221592611463373
433,34,0.0785219399538106,0.000167104491685221,0.0129268902557893,0.0758025811843041,0.00221105584179004
434,34,0.0783410138248848,0.00016636797091653,0.0128983708628854,0.0736378279479668,0.00220620677824689
435,35,0.0804597701149425,0.000170082748294237,0.0130415776765787,0.0977964740657204,-0.0111027055444236
436,35,0.0802752293577982,0.000169337424104016,0.0130129713787442,0.095169221300412,0.00219346911423931
437,35,0.080091533180778,0.000168596978246065,0.0129844899108923,0.0925983136069238,0.00218869826290417
438,35,0.0799086757990868,0.000167861368335898,0.0129561324605724,0.0900830449605131,0.0021839479651916
439,35,0.0797266514806378,0.000167130552447204,0.0129278982223409,0.0876227002943731,0.00217921808976864
440,35,0.0795454545454545,0.000166404489105935,0.0128997863976864,0.0852165562905051,0.00217450850640863
441,35,0.0793650793650794,0.000165683137284476,0.0128717961949557,0.0828638821534199,0.00216981908597526
442,35,0.0791855203619909,0.000164966456395909,0.0128439268292804,0.0805639403676126,0.00216514970041498
443,35,0.0790067720090293,0.000164254406288358,0.0128161775225048,0.0783159874379681,0.00216050022274395
444,35,0.0788288288288288,0.000163546947239423,0.0127885475031148,0.0761192746118236,0.00215587052703687
445,35,0.0786516853932584,0.000162844039950693,0.0127610360061671,0.0739730485841252,0.00215126048841735
446,36,0.0807174887892377,0.00016637259146367,0.0128985499752364,0.0978498131420902,-0.01077608189514
447,36,0.0805369127516778,0.000165661562496882,0.0128709581032992,0.0952524870462916,0.0021391452519999
448,36,0.0803571428571429,0.000164955072430758,0.0128434836563433,0.0927101408459199,0.00213460775300022
449,36,0.0801781737193764,0.000164253082802677,0.0128161258889993,0.0902220971857897,0.00213008931813921
450,36,0.08,0.000163555555555556,0.0127888840621673,0.0877876699628753,0.00212558982862228
451,36,0.0798226164079823,0.000162862453032741,0.012761757442952,0.0854061650709372,0.0021211091666295
452,36,0.079646017699115,0.000162173737972981,0.012734745304598,0.0830768811295064,0.00211664721530543
453,36,0.0794701986754967,0.000161489373505461,0.0127078469264255,0.0807991101984206,0.00211220385874797
454,36,0.079295154185022,0.000160809323144924,0.0126810615937675,0.0785721384750706,0.00210777898199945
455,36,0.0791208791208791,0.000160133550786854,0.0126543885979076,0.0763952469771778,0.00210337247103917
456,36,0.0789473684210526,0.000159462020702726,0.0126278272360183,0.074267712207744,0.00209898421276917
457,37,0.0809628008752735,0.000162817999452307,0.0127600156525103,0.0978660978668666,-0.0104680254188858
458,37,0.0807860262008734,0.000162138961073243,0.0127333797977302,0.0952983687605614,0.00208744687353615
